date,amount,description,category,account_id
2026-01-01,3500.00,Direct Deposit - ACME Corp,income,chk_001
2026-01-15,3500.00,Direct Deposit - ACME Corp,income,chk_001
2026-01-01,-1800.00,January Rent,housing,chk_001
2026-01-02,-130.00,Con Edison Electric,utilities,chk_001
2026-01-03,-92.40,Whole Foods Market,groceries,cc_001
2026-01-05,-45.00,Dinner out,dining,cc_001
2026-01-06,-52.00,Netflix + Spotify,subscriptions,cc_001
2026-01-14,-500.00,Fidelity Roth IRA Contribution,retirement,chk_001
2026-01-15,-200.00,Transfer to Marcus Savings,savings,chk_001
2026-02-01,3500.00,Direct Deposit - ACME Corp,income,chk_001
2026-02-15,3500.00,Direct Deposit - ACME Corp,income,chk_001
2026-02-01,-1800.00,February Rent,housing,chk_001
2026-02-02,-115.00,Con Edison Electric,utilities,chk_001
2026-02-05,-108.75,Whole Foods Market,groceries,cc_001
2026-02-08,-73.50,Amazon,shopping,cc_002
2026-02-10,-120.00,Equinox Gym,fitness,cc_001
2026-02-14,-95.00,Valentine's Day Dinner,dining,cc_001
2026-02-14,-500.00,Fidelity Roth IRA Contribution,retirement,chk_001
2026-02-15,-200.00,Transfer to Marcus Savings,savings,chk_001
2026-03-01,3500.00,Direct Deposit - ACME Corp,income,chk_001
2026-03-15,3500.00,Direct Deposit - ACME Corp,income,chk_001
2026-03-01,-1800.00,March Rent,housing,chk_001
2026-03-02,-145.00,Con Edison Electric,utilities,chk_001
2026-03-03,-89.50,Whole Foods Market,groceries,cc_001
2026-03-05,-64.20,Trader Joe's,groceries,cc_001
2026-03-06,-52.00,Netflix + Spotify,subscriptions,cc_001
2026-03-07,-18.50,Starbucks,dining,cc_001
2026-03-08,-280.00,Delta Airlines,travel,cc_001
2026-03-09,-120.00,Equinox Gym,fitness,cc_001
2026-03-10,-87.30,Amazon,shopping,cc_002
2026-03-11,-245.00,Dental Checkup,healthcare,cc_001
2026-03-12,-43.00,Shell Gas Station,transport,cc_001
2026-03-13,-65.00,Dinner at Nobu,dining,cc_001
2026-03-14,-500.00,Fidelity Roth IRA Contribution,retirement,chk_001
2026-03-15,-200.00,Transfer to Marcus Savings,savings,chk_001
2026-03-16,-32.00,CVS Pharmacy,healthcare,cc_002
2026-03-17,-78.00,Costco,groceries,cc_002
2026-03-18,-190.00,Geico Auto Insurance,insurance,chk_001
2026-03-19,-25.00,Spotify Premium,subscriptions,cc_001
2026-03-20,-55.00,Target,shopping,cc_002
